year,x_american,y_national,marginal_nl,marginal_al,joint,prob_cond_nl,info_elements
2001,Yankees,Diamondbacks,0.05,0.15,0.0075,0.15,0.020527241956246545
2002,Angels,Giants,0.2,0.05,0.010000000000000002,0.05000000000000001,0.043219280948873624
2003,Yankees,Marlins,0.05,0.15,0.0075,0.15,0.020527241956246545
2004,Red Sox,Cardinals,0.2,0.2,0.04000000000000001,0.20000000000000004,0.09287712379549451
2005,White Sox,Astros,0.05,0.05,0.0025000000000000005,0.05000000000000001,0.010804820237218406
2006,Tigers,Cardinals,0.2,0.1,0.020000000000000004,0.10000000000000002,0.06643856189774726
2007,Red Sox,Rockies,0.05,0.2,0.010000000000000002,0.20000000000000004,0.023219280948873627
2008,Rays,Phillies,0.1,0.1,0.010000000000000002,0.10000000000000002,0.03321928094887363
2009,Yankees,Phillies,0.1,0.15,0.015,0.15,0.04105448391249309
2010,Rangers,Giants,0.2,0.1,0.020000000000000004,0.10000000000000002,0.06643856189774726
2011,Rangers,Cardinals,0.2,0.1,0.020000000000000004,0.10000000000000002,0.06643856189774726
2012,Tigers,Giants,0.2,0.1,0.020000000000000004,0.10000000000000002,0.06643856189774726
2013,Red Sox,Cardinals,0.2,0.2,0.04000000000000001,0.20000000000000004,0.09287712379549451
2014,Royals,Giants,0.2,0.1,0.020000000000000004,0.10000000000000002,0.06643856189774726
2015,Royals,Mets,0.05,0.1,0.005000000000000001,0.10000000000000002,0.016609640474436815
2016,Indians,Cubs,0.05,0.05,0.0025000000000000005,0.05000000000000001,0.010804820237218406
2017,Astros,Dodgers,0.15,0.1,0.015,0.1,0.049828921423310434
2018,Red Sox,Dodgers,0.15,0.2,0.03,0.2,0.06965784284662087
2019,Astros,Nationals,0.05,0.1,0.005000000000000001,0.10000000000000002,0.016609640474436815
2020,Rays,Dodgers,0.15,0.1,0.015,0.1,0.049828921423310434
